Ticker Symbol,Company
CSCO,Cisco Systems Inc.
TRV,Travelers Companies Inc.
IBM,International Business Machine Corporation
PFE,Pfizer Inc.
JNJ,Johnson and Johnson
AXP,American Express Company
GS,Goldman Sachs Group Inc.
GOOGL,Google Inc.
GE,General Electric
KO,The Coca Cola Company
VZ,Verizon Communications
BA,Boeing Co
NKE,Nike Inc.
CVX,Chevron Corporation
AMZN,Amazon Inc.
UNH,United Health Group
WMT,Walmart Inc.
MMM,3M Co
JPM,JP Morgan Chase & Co.
DIS,Walt Disney Co
CAT,Caterpillar Co
MRK,"Merck & Co., Inc"
XOM,Exxon Mobil Corporation
MSFT,Microsoft
HD,Home Depot Inc
INTC,Intel Corporation
PG,Procter & Gamble Co
AAPL,Apple Inc.
